epoch,accuracy,loss,val_accuracy,val_loss
0,0.357044,1.3370409701426802,0.42939481139183044,1.30241465637251
1,0.6357598,1.0065141238732052,0.6685879230499268,0.9262805672131629
2,0.80127317,0.5732119004877525,0.7060518860816956,0.7680773989267926
3,0.8560753,0.4066900348617138,0.7060518860816956,0.7713357320092941
4,0.8804318,0.3246513324251737,0.6945244669914246,0.8272645104171907
5,0.9081096,0.2666529997082058,0.729106605052948,0.8638926148414612
6,0.92388594,0.2197000061932806,0.7060518860816956,0.9286281597030266
7,0.93938553,0.18683618142965788,0.7175792455673218,0.9922087556690579
8,0.9529477,0.16092391647016974,0.7002881765365601,1.0589711817265932
9,0.9576529,0.1364475082628761,0.6974063515663147,1.1255427298353453
10,0.961251,0.12441965170285063,0.7089337110519409,1.170840312493294
11,0.96567947,0.1152536943864202,0.6916426420211792,1.2183341395958012
12,0.9665098,0.10556796231272805,0.6858789920806885,1.276603576085753
13,0.970108,0.09467902869695513,0.6887608170509338,1.3166024379153074
14,0.9673402,0.09286141074696902,0.6858789920806885,1.3819685308665295
15,0.9703847,0.091396431858532,0.7002881765365601,1.427626988042672
16,0.97121507,0.08675385245405305,0.6858789920806885,1.4616686947407571
17,0.97259897,0.07827085311842401,0.680115282535553,1.4887185684198605
18,0.97232217,0.07901805876415256,0.6714697480201721,1.5212478709839263
19,0.9731525,0.07276028669172464,0.680115282535553,1.5411358707576388
20,0.9756435,0.07193505736787069,0.6829971075057983,1.5398828784052165
21,0.97481316,0.0640684484542571,0.6829971075057983,1.5754463421851825
22,0.97481316,0.06832389707359751,0.6772334575653076,1.649059144839086
23,0.9778577,0.06451754114564034,0.6628242135047913,1.6679996379170707
24,0.97592026,0.06253283809991118,0.6743515729904175,1.6725618719023998
